"CollegeID","StudentID","Acad_Score","Behavior_type","Extra.Curr","Overall_Score"
"CID_3","SID_1",81.5594474319369,"ESTJ","Painting",5
"CID_3","SID_2",84.2071972321719,"ENFP","Photgraphy",6
"CID_3","SID_3",NA,"ESTP","Writing",8
"CID_3","SID_4",NA,"ISTP","Drama",6
"CID_3","SID_5",83.8140014000237,"ISFJ","Writing",7
"CID_3","SID_6",NA,"ENTP","Dance",7
"CID_3","SID_7",NA,"ISTP","FreeArts",4
"CID_3","SID_8",NA,"INFP","FreeArts",8
"CID_3","SID_9",81.5900670457631,"ESFP","FreeArts",4
"CID_3","SID_10",NA,"ISTP","Sports",5
"CID_3","SID_11",74.7852793522179,"ISFP","Writing",6
"CID_3","SID_12",81.2209573946893,"ESFJ","Drama",6
"CID_3","SID_13",NA,"INTP","Music",7
"CID_3","SID_14",78.0450332909822,"ESTJ","Sports",9
"CID_3","SID_15",97.9512840230018,"ESTP","Dance",6
"CID_3","SID_16",80.9851493872702,"ENTP","Sports",8
"CID_3","SID_17",NA,"ISTP","Others",10
"CID_3","SID_18",77.2627008147538,"ESFJ","Sports",4
"CID_3","SID_19",92.3376770038158,"ISTP","Dance",3
"CID_3","SID_20",96.0289649665356,"ISTJ","Drama",3
"CID_3","SID_21",62.4644060712308,"INTP","Sports",10
"CID_3","SID_22",NA,"INFP","FreeArts",6
"CID_3","SID_23",84.6479284204543,"ESTJ","Writing",1
"CID_3","SID_24",80.5903469771147,"ISTJ","Dance",3
"CID_3","SID_25",NA,"ISTP","Dance",4
"CID_3","SID_26",NA,"INTP","Others",3
"CID_3","SID_27",63.3732149098068,"ESTP","FreeArts",3
"CID_3","SID_28",74.480959912762,"ISTJ","Others",3
"CID_3","SID_29",93.9184441417456,"ISFP","Photgraphy",6
"CID_3","SID_30",62.4095466826111,"ESFJ","FreeArts",6
"CID_3","SID_31",84.5774976536632,"INFP","FreeArts",4
"CID_3","SID_32",84.087239485234,"ISTJ","Others",5
"CID_3","SID_33",NA,"INFP","Sports",9
"CID_3","SID_34",85.2426613029093,"INTP","Photgraphy",4
"CID_3","SID_35",99.2606167402118,"INTJ","Painting",9
"CID_3","SID_36",97.8722399845719,"ENTP","Drama",7
"CID_3","SID_37",NA,"ISTJ","Drama",7
"CID_3","SID_38",83.1619259994477,"ISFJ","Others",4
"CID_3","SID_39",NA,"ESFJ","Drama",2
"CID_3","SID_40",86.5971864294261,"ISFP","Writing",8
"CID_3","SID_41",NA,"ISFP","Dance",5
"CID_3","SID_42",NA,"ISFP","Music",9
"CID_3","SID_43",80.2580251265317,"ESTJ","Painting",4
"CID_3","SID_44",89.6912081260234,"ISTJ","Photgraphy",9
"CID_3","SID_45",71.0957131441683,"ISTJ","Dance",7
"CID_3","SID_46",NA,"ESFP","Writing",10
"CID_3","SID_47",NA,"ISTP","Writing",4
"CID_3","SID_48",67.021431978792,"ISFJ","Photgraphy",8
"CID_3","SID_49",75.6768383923918,"ISTP","Photgraphy",7
"CID_3","SID_50",NA,"ESTJ","Music",9
