"CollegeID","StudentID","Acad_Score","Behavior_type","Extra.Curr","Overall_Score"
"CID_5","SID_1",90.8209956877399,"ESTJ","Sports",7
"CID_5","SID_2",81.1301080180565,"ENTP","Photgraphy",6
"CID_5","SID_3",20.3996743346797,"ISTJ","Drama",7
"CID_5","SID_4",52.5466299467953,"ESTJ","FreeArts",3
"CID_5","SID_5",51.5616969855037,"ENFP","Dance",4
"CID_5","SID_6",21.8240911532194,"ISFJ","Others",4
"CID_5","SID_7",41.9095874542836,NA,"Photgraphy",4
"CID_5","SID_8",56.790616605198,"ISTJ","Sports",8
"CID_5","SID_9",32.5456410758198,"ESTJ","Sports",2
"CID_5","SID_10",46.0039803421823,"INTP","Photgraphy",7
"CID_5","SID_11",29.4454618616728,"ISFP","Others",7
"CID_5","SID_12",51.0597022585571,"ISTP","Dance",7
"CID_5","SID_13",47.1470288512064,"ISTJ","Writing",7
"CID_5","SID_14",86.526799045736,"ESTP","Painting",9
"CID_5","SID_15",79.1436343853129,"INTP","FreeArts",7
"CID_5","SID_16",58.9169347245479,"ISTP","FreeArts",6
"CID_5","SID_17",58.9372257310897,"INTP","Photgraphy",4
"CID_5","SID_18",52.8838688806864,"ESTJ","Photgraphy",9
"CID_5","SID_19",14.6459455278236,NA,"Others",8
"CID_5","SID_20",11.1619505666895,"ESFP","Sports",10
"CID_5","SID_21",81.6188445303124,"ENTJ","Music",7
"CID_5","SID_22",79.8268537241965,"ISTP","Music",4
"CID_5","SID_23",88.0743014070904,"INFJ","Painting",5
"CID_5","SID_24",49.6794714598218,NA,"Music",3
"CID_5","SID_25",26.5042259490583,"ISTJ","FreeArts",9
"CID_5","SID_26",38.5262836536858,"ISTJ","Others",3
"CID_5","SID_27",15.8296755452175,NA,"Others",7
"CID_5","SID_28",18.6657519078581,"ISTJ","Painting",2
"CID_5","SID_29",89.2423175992444,"ENTP","Photgraphy",5
"CID_5","SID_30",17.2024433813058,"ENTP","Drama",7
"CID_5","SID_31",44.8294451782713,"ISFJ","Painting",9
"CID_5","SID_32",51.8331927667605,"INTP","Music",7
"CID_5","SID_33",83.7671947838971,"ISTJ","Painting",1
"CID_5","SID_34",81.4538565218682,"INFP","Painting",6
"CID_5","SID_35",62.2874427306233,NA,"Music",7
"CID_5","SID_36",90.096223788918,"ISTJ","Music",8
"CID_5","SID_37",69.906466461136,"ESFP","Photgraphy",5
"CID_5","SID_38",85.9311883321498,"ISFJ","Music",2
"CID_5","SID_39",18.6263871095144,"ISTJ","Music",6
"CID_5","SID_40",80.6932648867369,"ISFP","FreeArts",7
"CID_5","SID_41",90.4042699538404,"ENTJ","Drama",6
"CID_5","SID_42",34.2168498202227,"ISTP","Painting",7
"CID_5","SID_43",68.9443469448015,NA,"Sports",4
"CID_5","SID_44",41.1139160864987,"ENFJ","Dance",4
"CID_5","SID_45",56.5221971552819,"ENTJ","Music",7
"CID_5","SID_46",55.6840030589373,NA,"Drama",9
"CID_5","SID_47",25.9090795269003,NA,"FreeArts",5
"CID_5","SID_48",63.0734058826929,"ISTJ","FreeArts",1
"CID_5","SID_49",63.7988593381597,NA,"Others",7
"CID_5","SID_50",74.2548600448063,"ESFJ","Painting",8
