"CollegeID","StudentID","Acad_Score","Behavior_type","Extra.Curr","Overall_Score"
"CID_2","SID_1",52.7301098250318,"ISTJ","Others",2
"CID_2","SID_2",18.9087451562519,"ENTJ","Music",6
"CID_2","SID_3",75.8399912128225,"ISTJ","Drama",3
"CID_2","SID_4",11.6349415418226,NA,"Painting",7
"CID_2","SID_5",13.2478532947134,"ISTP","Writing",6
"CID_2","SID_6",42.4666239569197,"ESFP","Writing",7
"CID_2","SID_7",49.2369982051896,NA,"Writing",7
"CID_2","SID_8",50.195960547775,"ISTP","Drama",5
"CID_2","SID_9",28.8569146763766,"ISTP","Drama",7
"CID_2","SID_10",60.0912219664315,"ISFJ","Dance",5
"CID_2","SID_11",92.5764472581213,"ENTP","FreeArts",4
"CID_2","SID_12",12.8873243418056,"INTP","Sports",6
"CID_2","SID_13",69.7704931732732,NA,"Others",6
"CID_2","SID_14",47.8865607104963,"ISTJ","Others",4
"CID_2","SID_15",14.2240275255172,"ENFP","Dance",7
"CID_2","SID_16",12.3291011020774,"ISTP","Others",7
"CID_2","SID_17",36.4571175536839,"ENTP","Sports",7
"CID_2","SID_18",23.7778454087674,"ISTJ","Writing",6
"CID_2","SID_19",62.2647488870426,"ESTJ","FreeArts",7
"CID_2","SID_20",63.6310721040936,"ESTJ","Sports",7
"CID_2","SID_21",14.9800319661154,"ESTP","FreeArts",5
"CID_2","SID_22",83.1520334655652,"ESTP","Music",9
"CID_2","SID_23",41.7264530026587,"INFP","Painting",6
"CID_2","SID_24",83.7133098847698,"ISFP","Dance",6
"CID_2","SID_25",84.0145789635135,"INFJ","Writing",7
"CID_2","SID_26",72.581722130999,NA,"Dance",6
"CID_2","SID_27",85.9500662189676,"ESTJ","Writing",4
"CID_2","SID_28",15.1138845790411,"ISTJ","Painting",1
"CID_2","SID_29",34.1228944587055,"ISTJ","Painting",6
"CID_2","SID_30",46.1590864461614,"ISTP","Others",8
"CID_2","SID_31",29.202157466556,NA,"Music",8
"CID_2","SID_32",94.0718590794131,"ISTJ","Writing",2
"CID_2","SID_33",30.3360994097311,"ISFJ","Writing",7
"CID_2","SID_34",20.9005847262452,"ISTP","Photgraphy",6
"CID_2","SID_35",44.4770112757105,"ISFJ","Painting",7
"CID_2","SID_36",64.2167731628287,"ESFJ","Drama",5
"CID_2","SID_37",54.1344856692012,"ESFJ","Dance",6
"CID_2","SID_38",87.4083996029803,"ISFJ","Dance",2
"CID_2","SID_39",19.0752403649967,"ESFJ","FreeArts",8
"CID_2","SID_40",39.1290686582215,"INFP","Music",4
"CID_2","SID_41",27.6375885979505,"ESFP","Photgraphy",2
"CID_2","SID_42",58.562987211626,"ISFP","FreeArts",1
"CID_2","SID_43",18.0652543791803,NA,"FreeArts",8
"CID_2","SID_44",85.9061744846403,"ENTP","Photgraphy",6
"CID_2","SID_45",56.5000415776158,"ESTJ","Painting",2
"CID_2","SID_46",42.1170982510085,"ESTP","Drama",3
"CID_2","SID_47",69.8312068770174,"ENFP","Writing",1
"CID_2","SID_48",80.9282170129008,"ESTP","Drama",6
"CID_2","SID_49",16.9703918672167,"ESTP","Music",3
"CID_2","SID_50",61.8770554118091,"INTP","Photgraphy",4
