"CollegeID","StudentID","Acad_Score","Behavior_type","Extra.Curr","Overall_Score"
"CID_4","SID_1",60.3645585756749,"ISTP","Sports",8
"CID_4","SID_2",75.6093647330999,"ISFJ","FreeArts",1
"CID_4","SID_3",80.3087117802352,"INFP","Photgraphy",4
"CID_4","SID_4",85.4516865871847,"ISTP","FreeArts",8
"CID_4","SID_5",69.6628736145794,"ESFP","Others",8
"CID_4","SID_6",64.9116029869765,"ISFJ","Dance",7
"CID_4","SID_7",86.8364182114601,"ISTP","Others",7
"CID_4","SID_8",87.9378563072532,"ESTP","Drama",5
"CID_4","SID_9",95.2431002259254,"ISFJ","Music",6
"CID_4","SID_10",67.5453205872327,"ISTJ","Drama",6
"CID_4","SID_11",97.4694090429693,"ISFJ","Photgraphy",2
"CID_4","SID_12",80.4617898911238,"ISTJ","Music",5
"CID_4","SID_13",89.1315717156976,"ESFP","Dance",7
"CID_4","SID_14",67.5509180501103,"ESTJ","Photgraphy",5
"CID_4","SID_15",NA,"ISFP","Dance",3
"CID_4","SID_16",NA,"ISTJ","Photgraphy",8
"CID_4","SID_17",63.9834815170616,"ISFJ","Music",5
"CID_4","SID_18",NA,"ISTJ","Others",9
"CID_4","SID_19",63.5032646823674,"ISTJ","Photgraphy",5
"CID_4","SID_20",NA,"ISTP","Drama",1
"CID_4","SID_21",73.9858968090266,"ISTP","Photgraphy",7
"CID_4","SID_22",77.6551784109324,"ISTJ","Sports",1
"CID_4","SID_23",95.9511083550751,"ISTP","Sports",3
"CID_4","SID_24",86.7861042078584,"INTP","Sports",5
"CID_4","SID_25",69.9599885661155,"ESFJ","Photgraphy",2
"CID_4","SID_26",84.6054206881672,"ISTP","Drama",5
"CID_4","SID_27",80.9176010172814,"ENTJ","Music",4
"CID_4","SID_28",94.8879847116768,"ISTP","Drama",5
"CID_4","SID_29",81.4487773459405,"ISFJ","Painting",7
"CID_4","SID_30",63.0069497320801,"ISTJ","FreeArts",4
"CID_4","SID_31",71.6792744956911,"ISTP","Music",3
"CID_4","SID_32",79.7857803571969,"ISFJ","Dance",6
"CID_4","SID_33",68.0092845577747,"ISTJ","Music",8
"CID_4","SID_34",NA,"ISFP","Others",6
"CID_4","SID_35",NA,"ISFP","Others",6
"CID_4","SID_36",86.5411123633385,"ISTJ","Music",3
"CID_4","SID_37",73.9524741377681,"ISTP","FreeArts",3
"CID_4","SID_38",NA,"ESFJ","Dance",1
"CID_4","SID_39",91.7761682253331,"ISTP","Dance",7
"CID_4","SID_40",73.9727678149939,"ISTP","Painting",6
"CID_4","SID_41",NA,"ESFP","Others",6
"CID_4","SID_42",84.0596421714872,"ESTP","Drama",1
"CID_4","SID_43",80.6462002266198,"ESTP","Others",4
"CID_4","SID_44",94.865184025839,"ISTJ","Sports",6
"CID_4","SID_45",93.1581461522728,"ESTJ","FreeArts",7
"CID_4","SID_46",83.0695994757116,"ESTP","Music",5
"CID_4","SID_47",60.6760533154011,"ESTJ","Drama",4
"CID_4","SID_48",93.1166356988251,"ISTP","Painting",5
"CID_4","SID_49",NA,"ISTJ","FreeArts",5
"CID_4","SID_50",73.5779414325953,"ENFP","Music",5
